"ID","(Intercept)","bordering_language_richness","small_family","isolate_or_mono","weighted_sums","res","bordering_language_evenness","bordering_language_richness_perkm","altitude_range","islands11km","L1_pop","roughness","vehicularity","area","BIC","delta","Nparam"
88,"-2.943*** (-3.411--2.708)","-0.317** (-0.553--0.094)","0.909*** (0.542-1.257)","0.866*** (0.527-1.189)","4.778*** (3.209-6.378)","1.06 (-0.765-2.934)","-0.155* (-0.312--0.007)",NA,"-0.068 (-0.178-0.037)",NA,"-0.654 (-5.101--0.204)",NA,NA,NA,587.845875219963,19.3804608866719,6
89,"-3.038*** (-3.553--2.742)","-0.365** (-0.594--0.146)","0.928*** (0.561-1.277)","0.842*** (0.503-1.165)","4.923*** (3.408-6.45)","0.982 (-0.819-2.863)",NA,"-0.226* (-0.428--0.034)",NA,NA,"-1.479 (-6.376--0.238)","0.066 (-0.051-0.188)",NA,NA,587.863314975352,19.3979006420614,6
90,"-2.85*** (-3.059--2.666)",NA,"0.915*** (0.548-1.263)","0.886*** (0.549-1.208)","4.72*** (3.142-6.323)","1.014 (-0.824-2.911)","-0.206** (-0.36--0.059)","-0.203* (-0.402--0.014)",NA,NA,NA,NA,NA,"-0.061 (-0.343-0.066)",587.908493887052,19.443079553761,5
91,"-2.992*** (-3.451--2.706)",NA,"0.95*** (0.594-1.289)","0.914*** (0.584-1.23)","5.989*** (4.527-7.453)","-0.295 (-1.969-1.467)",NA,NA,"-0.094 (-0.204-0.01)",NA,"-1.781 (-6.178--0.474)",NA,NA,NA,587.983737151047,19.5183228177555,4
92,"-2.908*** (-3.126--2.717)","-0.417*** (-0.646--0.201)","0.935*** (0.569-1.284)","0.835*** (0.496-1.158)","4.845*** (3.321-6.381)","1.048 (-0.756-2.932)",NA,"-0.209* (-0.407--0.021)",NA,"-0.092 (-0.262-0.043)",NA,"0.052 (-0.064-0.173)",NA,NA,588.068928800243,19.6035144669524,6
93,"-2.891*** (-3.111--2.699)","-0.38** (-0.616--0.158)","0.926*** (0.558-1.275)","0.864*** (0.524-1.188)","4.433*** (2.879-6.028)","1.364 (-0.463-3.229)","-0.165* (-0.322--0.016)",NA,NA,"-0.099 (-0.27-0.037)",NA,"0.034 (-0.079-0.152)",NA,NA,588.15270453981,19.6872902065195,6
94,"-2.911*** (-3.122--2.723)","-0.386*** (-0.614--0.169)","0.942*** (0.574-1.292)","0.9*** (0.563-1.222)","5.567*** (4.058-7.089)","0.416 (-1.351-2.262)",NA,NA,"-0.192* (-0.355--0.037)",NA,NA,"0.183* (0.015-0.358)","-0.35 (-1.532-0.557)",NA,588.155100518958,19.6896861856665,6
95,"-2.883*** (-3.103--2.69)","-0.379** (-0.616--0.156)","0.921*** (0.555-1.269)","0.855*** (0.517-1.179)","4.429*** (2.874-6.025)","1.37 (-0.459-3.236)","-0.163* (-0.32--0.014)",NA,NA,"-0.102 (-0.273-0.034)",NA,NA,"-0.285 (-1.454-0.621)",NA,588.208124092345,19.7427097590542,6
96,"-2.896*** (-3.114--2.705)","-0.415*** (-0.645--0.198)","0.93*** (0.565-1.276)","0.826*** (0.487-1.149)","4.838*** (3.312-6.376)","1.054 (-0.753-2.938)",NA,"-0.197* (-0.393--0.013)",NA,"-0.096 (-0.267-0.039)",NA,NA,"-0.368 (-1.571-0.555)",NA,588.36042190854,19.8950075752484,6
97,"-2.835*** (-3.039--2.657)",NA,"0.914*** (0.55-1.26)","0.9*** (0.565-1.22)","4.885*** (3.301-6.498)","0.84 (-0.983-2.715)","-0.24** (-0.394--0.093)",NA,"-0.101 (-0.212-0.004)","-0.074 (-0.246-0.061)",NA,NA,NA,NA,588.437442269687,19.9720279363961,5
98,"-2.888*** (-3.107--2.696)","-0.38** (-0.616--0.158)","0.92*** (0.552-1.269)","0.853*** (0.514-1.178)","4.466*** (2.916-6.056)","1.322 (-0.497-3.179)","-0.162* (-0.319--0.013)",NA,NA,"-0.102 (-0.273-0.034)",NA,NA,NA,"0.011 (-0.247-0.123)",588.483504125103,20.0180897918117,6
99,"-2.994*** (-3.472--2.709)",NA,"0.916*** (0.543-1.27)","0.935*** (0.597-1.259)","4.936*** (3.338-6.567)","0.955 (-0.902-2.861)","-0.239** (-0.39--0.095)",NA,"-0.24** (-0.402--0.086)",NA,"-1.625 (-6.165--0.471)","0.233** (0.064-0.408)",NA,NA,588.508198910865,20.0427845775738,6
100,"-2.866*** (-3.072--2.685)",NA,"0.909*** (0.535-1.264)","0.921*** (0.582-1.245)","4.944*** (3.332-6.582)","0.984 (-0.891-2.92)","-0.221** (-0.375--0.074)","-0.152 (-0.355-0.03)","-0.216** (-0.38--0.059)",NA,NA,"0.227** (0.059-0.403)",NA,NA,588.538628883237,20.0732145499462,6
101,"-2.882*** (-3.1--2.691)","-0.325** (-0.559--0.106)","0.904*** (0.538-1.252)","0.866*** (0.528-1.188)","4.8*** (3.233-6.396)","1.05 (-0.775-2.925)","-0.155* (-0.312--0.007)",NA,"-0.07 (-0.181-0.034)",NA,NA,NA,"-0.307 (-1.455-0.565)",NA,588.54205415435,20.0766398210585,6
102,"-2.915*** (-3.127--2.728)","-0.386*** (-0.614--0.171)","0.94*** (0.57-1.291)","0.897*** (0.559-1.22)","5.595*** (4.09-7.114)","0.371 (-1.389-2.209)",NA,NA,"-0.188* (-0.35--0.034)",NA,NA,"0.179* (0.013-0.352)",NA,"0.013 (-0.256-0.129)",588.581495712914,20.1160813796225,6
103,"-3.001*** (-3.497--2.731)","-0.357** (-0.586--0.139)","0.919*** (0.554-1.265)","0.836*** (0.497-1.159)","5.097*** (3.56-6.644)","0.804 (-0.998-2.688)",NA,"-0.183 (-0.388-0.008)","-0.039 (-0.153-0.069)",NA,"-1.158 (-5.898--0.047)",NA,NA,NA,588.591121146227,20.1257068129364,6
104,"-2.87*** (-3.071--2.693)",NA,"0.951*** (0.584-1.299)","0.919*** (0.586-1.237)","5.954*** (4.433-7.472)","-0.062 (-1.814-1.792)",NA,"-0.204* (-0.404--0.016)","-0.203* (-0.367--0.047)",NA,NA,"0.209* (0.042-0.383)",NA,NA,588.66552464824,20.2001103149491,5
105,"-2.901*** (-3.118--2.71)","-0.334** (-0.573--0.112)","0.919*** (0.545-1.275)","0.888*** (0.547-1.215)","4.638*** (3.059-6.258)","1.35 (-0.506-3.25)","-0.183* (-0.341--0.034)",NA,"-0.231** (-0.399--0.071)","-0.129 (-0.301-0.008)",NA,"0.217* (0.045-0.396)",NA,NA,588.705783878269,20.2403695449782,7
106,"-2.748*** (-2.934--2.583)",NA,NA,"1.008*** (0.685-1.317)","4.645*** (3.191-6.118)","0.935 (-0.75-2.668)","-0.262*** (-0.411--0.121)",NA,NA,NA,NA,NA,NA,NA,588.769736142822,20.3043218095312,2
107,"-2.824*** (-3.029--2.645)",NA,"0.905*** (0.541-1.251)","0.905*** (0.57-1.225)","4.955*** (3.374-6.561)","0.786 (-1.037-2.665)","-0.23** (-0.382--0.085)",NA,"-0.093 (-0.203-0.011)",NA,NA,NA,"-0.357 (-1.401-0.398)",NA,588.796100259304,20.3306859260132,5
108,"-2.905*** (-3.123--2.714)","-0.415*** (-0.645--0.198)","0.933*** (0.568-1.281)","0.829*** (0.489-1.153)","4.884*** (3.364-6.415)","0.994 (-0.802-2.869)",NA,"-0.194* (-0.393--0.009)",NA,"-0.098 (-0.268-0.038)",NA,NA,NA,"-0.019 (-0.305-0.119)",588.804395571352,20.3389812380606,6
109,"-2.961*** (-3.452--2.712)","-0.34** (-0.575--0.117)","0.923*** (0.555-1.273)","0.88*** (0.54-1.204)","4.579*** (3.026-6.166)","1.227 (-0.597-3.096)","-0.16* (-0.317--0.012)",NA,NA,NA,"-0.813 (-5.467--0.124)","0.046 (-0.068-0.163)",NA,NA,588.814709126483,20.3492947931916,6
110,"-3.018*** (-3.518--2.735)","-0.368** (-0.597--0.15)","0.916*** (0.55-1.263)","0.828*** (0.489-1.152)","4.99*** (3.483-6.509)","0.89 (-0.894-2.757)",NA,"-0.196* (-0.395--0.01)",NA,NA,"-1.379 (-6.231--2.834)",NA,NA,"0.051 (-0.231-0.161)",588.823771794028,20.3583574607366,6
111,"-2.888*** (-3.105--2.698)","-0.326** (-0.56--0.109)","0.904*** (0.536-1.253)","0.864*** (0.525-1.188)","4.839*** (3.278-6.43)","0.998 (-0.817-2.865)","-0.154* (-0.311--0.006)",NA,"-0.069 (-0.18-0.035)",NA,NA,NA,NA,"0.013 (-0.248-0.121)",588.891293701311,20.4258793680199,6
112,"-2.962*** (-3.443--2.71)","-0.341** (-0.576--0.12)","0.91*** (0.543-1.259)","0.861*** (0.522-1.185)","4.626*** (3.078-6.206)","1.17 (-0.643-3.03)","-0.154* (-0.31--0.006)",NA,NA,NA,"-0.904 (-5.476--0.459)",NA,NA,"0.06 (-0.181-0.161)",588.962157679806,20.4967433465147,6
113,"-3.007*** (-3.512--2.726)","-0.364** (-0.593--0.146)","0.919*** (0.555-1.266)","0.833*** (0.494-1.156)","4.985*** (3.474-6.507)","0.9 (-0.892-2.772)",NA,"-0.204* (-0.402--0.017)",NA,NA,"-1.238 (-6.05--0.06)",NA,"-0.151 (-1.44-0.798)",NA,589.00267100393,20.5372566706392,6
114,"-3.005*** (-3.496--2.688)",NA,"0.918*** (0.555-1.264)","0.891*** (0.555-1.212)","4.535*** (2.955-6.152)","1.122 (-0.713-2.998)","-0.238** (-0.391--0.093)",NA,NA,"-0.062 (-0.232-0.072)","-2.114 (-6.783--0.261)",NA,NA,NA,589.112189657105,20.6467753238137,5
115,"-2.903*** (-3.12--2.711)","-0.385*** (-0.609--0.173)","0.928*** (0.561-1.276)","0.849*** (0.511-1.171)","4.985*** (3.474-6.506)","0.925 (-0.871-2.804)",NA,"-0.214* (-0.413--0.024)",NA,NA,NA,"0.06 (-0.056-0.181)","-0.391 (-1.578-0.517)",NA,589.176084259564,20.7106699262733,6
116,"-2.854*** (-3.058--2.675)",NA,"0.923*** (0.55-1.277)","0.941*** (0.603-1.263)","4.909*** (3.304-6.544)","0.986 (-0.876-2.903)","-0.254*** (-0.407--0.108)",NA,"-0.265** (-0.433--0.106)","-0.092 (-0.263-0.044)",NA,"0.243** (0.072-0.422)",NA,NA,589.325503059409,20.8600887261182,6
117,"-3.007*** (-3.503--2.689)",NA,"0.92*** (0.554-1.267)","0.906*** (0.571-1.228)","4.614*** (3.049-6.212)","1.06 (-0.765-2.932)","-0.234** (-0.385--0.09)",NA,NA,NA,"-2.09 (-6.794--0.448)","0.041 (-0.071-0.158)",NA,NA,589.327201409266,20.8617870759749,5
118,"-2.838*** (-3.041--2.659)",NA,"0.913*** (0.548-1.26)","0.911*** (0.575-1.231)","5.015*** (3.437-6.615)","0.714 (-1.1-2.587)","-0.229** (-0.381--0.084)",NA,"-0.093 (-0.203-0.011)",NA,NA,NA,NA,"-0.032 (-0.296-0.072)",589.34270558054,20.8772912472486,5
119,"-2.947*** (-3.432--2.703)","-0.338** (-0.572--0.115)","0.916*** (0.549-1.264)","0.869*** (0.53-1.192)","4.628*** (3.077-6.211)","1.168 (-0.65-3.032)","-0.155* (-0.312--0.008)",NA,NA,NA,"-0.71 (-5.311--0.152)",NA,"-0.096 (-1.335-0.834)",NA,589.396362757146,20.9309484238552,6
120,"-2.895*** (-3.111--2.705)","-0.373*** (-0.598--0.161)","0.917*** (0.553-1.263)","0.842*** (0.504-1.164)","5.152*** (3.622-6.69)","0.761 (-1.036-2.642)",NA,"-0.172 (-0.375-0.014)","-0.044 (-0.158-0.064)",NA,NA,NA,"-0.369 (-1.55-0.522)",NA,589.572006704034,21.1065923707429,6
121,"-2.953*** (-3.412--2.722)","-0.432*** (-0.664--0.209)","0.943*** (0.581-1.287)","0.853*** (0.515-1.175)","5.164*** (3.649-6.689)","0.71 (-1.063-2.561)",NA,NA,"-0.081 (-0.194-0.025)","-0.109 (-0.28-0.027)","-0.655 (-4.999--0.165)",NA,NA,NA,589.699613653073,21.2341993197817,6
122,"-2.886*** (-3.105--2.693)","-0.35** (-0.583--0.132)","0.919*** (0.551-1.268)","0.88*** (0.541-1.203)","4.608*** (3.057-6.193)","1.205 (-0.619-3.076)","-0.159* (-0.316--0.011)",NA,NA,NA,NA,"0.042 (-0.071-0.16)","-0.302 (-1.452-0.583)",NA,589.723136613602,21.2577222803106,6
123,"-2.911*** (-3.129--2.719)","-0.384*** (-0.609--0.173)","0.93*** (0.562-1.28)","0.851*** (0.512-1.174)","5.038*** (3.532-6.552)","0.856 (-0.929-2.726)",NA,"-0.208* (-0.41--0.018)",NA,NA,NA,"0.059 (-0.057-0.179)",NA,"-0.01 (-0.29-0.121)",589.724597135281,21.2591828019899,6
124,"-3*** (-3.488--2.688)",NA,"0.912*** (0.548-1.257)","0.895*** (0.56-1.216)","4.674*** (3.114-6.264)","0.99 (-0.823-2.852)","-0.229** (-0.381--0.085)",NA,NA,NA,"-2.036 (-6.676--0.35)",NA,NA,"0.02 (-0.216-0.107)",589.755963936538,21.2905496032473,5
125,"-2.991*** (-3.485--2.674)",NA,"0.913*** (0.549-1.258)","0.897*** (0.562-1.218)","4.665*** (3.104-6.258)","1 (-0.817-2.865)","-0.23** (-0.381--0.086)",NA,NA,NA,"-1.948 (-6.631--0.507)",NA,"-0.075 (-1.232-0.783)",NA,589.813909861501,21.3484955282102,5
126,"-2.833*** (-3.032--2.658)",NA,"0.955*** (0.599-1.293)","0.929*** (0.599-1.243)","6.116*** (4.66-7.569)","-0.415 (-2.078-1.343)",NA,NA,"-0.099 (-0.209-0.005)",NA,NA,NA,"-0.334 (-1.364-0.403)",NA,589.945885823891,21.4804714906002,4
127,"-2.806*** (-2.999--2.634)","-0.495*** (-0.719--0.282)","1.05*** (0.699-1.383)",NA,"4.922*** (3.544-6.303)","0.8 (-0.818-2.488)",NA,NA,NA,"-0.104 (-0.267-0.025)",NA,NA,NA,NA,589.979052744322,21.5136384110311,3
128,"-2.891*** (-3.11--2.699)","-0.352** (-0.583--0.134)","0.916*** (0.547-1.267)","0.877*** (0.537-1.201)","4.65*** (3.103-6.229)","1.151 (-0.663-3.014)","-0.158* (-0.314--0.009)",NA,NA,NA,NA,"0.042 (-0.071-0.159)",NA,"0.019 (-0.232-0.125)",590.028007479373,21.562593146082,6
129,"-2.903*** (-3.119--2.714)","-0.372*** (-0.598--0.161)","0.92*** (0.555-1.267)","0.844*** (0.505-1.167)","5.203*** (3.679-6.735)","0.695 (-1.092-2.566)",NA,"-0.167 (-0.372-0.019)","-0.044 (-0.158-0.064)",NA,NA,NA,NA,"-0.008 (-0.293-0.12)",590.076948641822,21.6115343085312,6
130,"-2.845*** (-3.049--2.665)",NA,"0.915*** (0.542-1.269)","0.946*** (0.609-1.268)","5.019*** (3.422-6.645)","0.885 (-0.969-2.795)","-0.243** (-0.394--0.098)",NA,"-0.247** (-0.41--0.093)",NA,NA,"0.235** (0.065-0.411)","-0.423 (-1.498-0.365)",NA,590.084493803732,21.6190794704405,6
131,"-2.88*** (-3.099--2.687)","-0.35** (-0.583--0.132)","0.908*** (0.54-1.257)","0.864*** (0.526-1.188)","4.652*** (3.106-6.23)","1.152 (-0.662-3.015)","-0.154* (-0.311--0.006)",NA,NA,NA,NA,NA,"-0.351 (-1.496-0.576)","0.038 (-0.219-0.152)",590.104478090038,21.6390637567472,6
132,"-2.906*** (-3.124--2.714)","-0.283* (-0.518--0.069)","0.905*** (0.53-1.261)","0.883*** (0.541-1.21)","4.78*** (3.185-6.409)","1.222 (-0.651-3.148)","-0.157* (-0.316--0.005)","-0.136 (-0.339-0.038)","-0.181* (-0.346--0.024)",NA,NA,"0.201* (0.033-0.377)",NA,NA,590.119400924923,21.6539865916319,7
133,"-2.819*** (-3.014--2.647)","-0.411*** (-0.63--0.204)",NA,"0.96*** (0.636-1.27)","5.409*** (4.02-6.805)","0.362 (-1.256-2.052)",NA,NA,"-0.076 (-0.185-0.027)",NA,NA,NA,NA,NA,590.160181336478,21.6947670031868,3
134,"-2.895*** (-3.113--2.704)","-0.383*** (-0.609--0.171)","0.918*** (0.553-1.266)","0.838*** (0.499-1.161)","5.044*** (3.539-6.559)","0.845 (-0.939-2.711)",NA,"-0.191* (-0.389--0.006)",NA,NA,NA,NA,"-0.392 (-1.577-0.546)","0.017 (-0.272-0.15)",590.165694879667,21.7002805463758,6
135,"-2.844*** (-3.042--2.67)",NA,"0.963*** (0.607-1.302)","0.928*** (0.598-1.242)","6.117*** (4.655-7.574)","-0.428 (-2.092-1.334)",NA,NA,"-0.103 (-0.214-0.002)","-0.043 (-0.212-0.09)",NA,NA,NA,NA,590.21890180038,21.7534874670893,4
136,"-3.132*** (-3.635--2.76)",NA,"0.933*** (0.571-1.277)","0.861*** (0.527-1.181)","5.304*** (3.795-6.816)","0.458 (-1.305-2.312)",NA,"-0.292** (-0.491--0.101)",NA,NA,"-3.189 (-7.964--0.709)","0.066 (-0.05-0.187)",NA,NA,590.320289751286,21.8548754179947,5
137,"-2.846*** (-3.044--2.672)",NA,"0.963*** (0.606-1.302)","0.934*** (0.604-1.249)","6.169*** (4.718-7.616)","-0.48 (-2.134-1.271)",NA,NA,"-0.099 (-0.209-0.005)",NA,NA,NA,NA,"-0.034 (-0.302-0.075)",590.430552520029,21.9651381867379,4
138,"-2.807*** (-2.999--2.637)","-0.435*** (-0.654--0.228)","1.035*** (0.685-1.369)",NA,"5.306*** (3.932-6.685)","0.46 (-1.143-2.135)",NA,NA,"-0.073 (-0.182-0.029)",NA,NA,NA,NA,NA,590.473971001865,22.0085566685735,3
139,"-2.894*** (-3.106--2.706)","-0.438*** (-0.669--0.219)","0.939*** (0.578-1.283)","0.853*** (0.517-1.174)","5.193*** (3.681-6.715)","0.69 (-1.082-2.542)",NA,NA,"-0.083 (-0.196-0.023)","-0.107 (-0.278-0.03)",NA,NA,"-0.285 (-1.479-0.625)",NA,590.499631984924,22.0342176516331,6
140,"-3.002*** (-3.46--2.721)",NA,"0.964*** (0.601-1.309)","0.942*** (0.61-1.259)","6.136*** (4.656-7.623)","-0.311 (-2.009-1.473)",NA,NA,"-0.234** (-0.397--0.079)",NA,"-1.672 (-6.052--0.486)","0.209* (0.043-0.383)",NA,NA,590.632449927606,22.1670355943151,5
141,"-3.082*** (-3.571--2.742)",NA,"0.923*** (0.563-1.265)","0.86*** (0.526-1.18)","5.519*** (3.99-7.048)","0.255 (-1.507-2.109)",NA,"-0.24* (-0.443--0.046)","-0.052 (-0.166-0.056)",NA,"-2.685 (-7.367--0.384)",NA,NA,NA,590.692499617216,22.2270852839246,5
142,"-2.964*** (-3.434--2.725)","-0.288* (-0.526--0.063)","0.918*** (0.544-1.274)","0.906*** (0.565-1.233)","4.846*** (3.263-6.466)","1.126 (-0.727-3.026)","-0.176* (-0.333--0.027)",NA,"-0.205* (-0.367--0.05)",NA,"-0.715 (-5.163--0.089)","0.207* (0.039-0.383)",NA,NA,590.75078348307,22.2853691497789,7
143,"-2.898*** (-3.111--2.711)","-0.439*** (-0.669--0.22)","0.938*** (0.575-1.283)","0.851*** (0.514-1.174)","5.223*** (3.716-6.74)","0.648 (-1.115-2.491)",NA,NA,"-0.083 (-0.195-0.024)","-0.107 (-0.278-0.029)",NA,NA,NA,"0.01 (-0.261-0.128)",590.77068122195,22.3052668886592,6
144,"-2.859*** (-3.063--2.679)",NA,"0.924*** (0.55-1.279)","0.951*** (0.613-1.274)","5.08*** (3.485-6.703)","0.807 (-1.04-2.712)","-0.241** (-0.393--0.097)",NA,"-0.244** (-0.406--0.09)",NA,NA,"0.23** (0.062-0.405)",NA,"-0.037 (-0.307-0.075)",590.831444505228,22.3660301719365,6
145,"-3.018*** (-3.494--2.707)",NA,"0.965*** (0.608-1.304)","0.923*** (0.593-1.238)","5.809*** (4.367-7.255)","-0.189 (-1.852-1.557)",NA,NA,NA,NA,"-2.115 (-6.649--0.373)","0.025 (-0.086-0.139)",NA,NA,590.901479343354,22.436065010063,4
146,"-3.017*** (-3.491--2.706)",NA,"0.964*** (0.609-1.302)","0.916*** (0.586-1.231)","5.772*** (4.307-7.237)","-0.159 (-1.836-1.608)",NA,NA,NA,"-0.031 (-0.198-0.101)","-2.134 (-6.654--0.303)",NA,NA,NA,590.908555171791,22.4431408385001,4
147,"-3.016*** (-3.487--2.708)",NA,"0.958*** (0.602-1.296)","0.916*** (0.586-1.231)","5.823*** (4.382-7.267)","-0.207 (-1.866-1.538)",NA,NA,NA,NA,"-2.129 (-6.624--0.129)",NA,NA,"0.028 (-0.211-0.115)",590.950119331739,22.4847049984478,4
148,"-2.815*** (-3.01--2.641)","-0.462*** (-0.686--0.25)",NA,"0.952*** (0.628-1.262)","5.077*** (3.684-6.479)","0.641 (-0.99-2.34)",NA,NA,NA,"-0.074 (-0.228-0.05)",NA,NA,NA,NA,590.95205896423,22.4866446309394,3
149,"-3.01*** (-3.487--2.695)",NA,"0.961*** (0.605-1.299)","0.919*** (0.589-1.234)","5.823*** (4.38-7.269)","-0.206 (-1.869-1.542)",NA,NA,NA,NA,"-2.052 (-6.581--0.024)",NA,"-0.035 (-1.181-0.809)",NA,591.083577433275,22.6181630999837,4
150,"-3.116*** (-3.61--2.754)",NA,"0.93*** (0.57-1.273)","0.851*** (0.516-1.171)","5.303*** (3.779-6.827)","0.435 (-1.331-2.295)",NA,"-0.272** (-0.468--0.086)",NA,"-0.046 (-0.214-0.086)","-3.089 (-7.801--0.666)",NA,NA,NA,591.148301771773,22.6828874384817,5
151,"-2.907*** (-3.385--2.65)","-0.444*** (-0.665--0.233)","1.037*** (0.687-1.371)",NA,"5.094*** (3.741-6.451)","0.621 (-0.971-2.285)",NA,NA,NA,NA,"-1.154 (-5.706--0.072)",NA,NA,NA,591.229806316838,22.7643919835471,3
152,"-2.894*** (-3.352--2.656)","-0.425*** (-0.645--0.214)",NA,"0.956*** (0.632-1.267)","5.199*** (3.83-6.574)","0.519 (-1.088-2.196)",NA,NA,NA,NA,"-0.885 (-5.262-0.069)",NA,NA,NA,591.276420946763,22.811006613472,3
153,"-2.814*** (-3.019--2.633)",NA,"0.922*** (0.559-1.268)","0.908*** (0.574-1.227)","4.653*** (3.073-6.265)","1.009 (-0.823-2.887)","-0.242** (-0.395--0.096)",NA,NA,"-0.054 (-0.225-0.08)",NA,NA,"-0.347 (-1.384-0.408)",NA,591.309729319284,22.8443149859932,5
154,"-2.817*** (-3.021--2.637)","-0.315** (-0.54--0.109)",NA,"0.929*** (0.6-1.244)","4.474*** (3.013-5.958)","1.287 (-0.423-3.047)","-0.157* (-0.314--0.01)","-0.178 (-0.374-0.003)",NA,NA,NA,NA,NA,NA,591.373700020453,22.9082856871619,4
155,"-2.972*** (-3.445--2.724)","-0.45*** (-0.681--0.228)","0.944*** (0.581-1.289)","0.852*** (0.514-1.174)","5.034*** (3.534-6.545)","0.782 (-0.978-2.62)",NA,NA,NA,"-0.092 (-0.261-0.043)","-0.887 (-5.381--0.529)",NA,NA,"0.065 (-0.183-0.171)",591.441337750511,22.9759234172199,6
156,"-2.816*** (-3.021--2.636)",NA,"0.922*** (0.557-1.269)","0.921*** (0.586-1.241)","4.714*** (3.146-6.31)","0.964 (-0.861-2.84)","-0.238** (-0.39--0.093)",NA,NA,NA,NA,"0.036 (-0.076-0.152)","-0.349 (-1.387-0.407)",NA,591.460020725364,22.9946063920725,5
157,"-3.099*** (-3.596--2.735)",NA,"0.924*** (0.564-1.267)","0.855*** (0.521-1.175)","5.377*** (3.873-6.881)","0.368 (-1.384-2.212)",NA,"-0.269** (-0.464--0.083)",NA,NA,"-2.911 (-7.634--0.492)",NA,"-0.128 (-1.329-0.743)",NA,591.499047084155,23.0336327508644,5
158,"-2.911*** (-3.125--2.722)","-0.395*** (-0.627--0.177)","0.936*** (0.566-1.288)","0.857*** (0.517-1.181)","5.097*** (3.536-6.672)","0.943 (-0.897-2.864)",NA,"-0.165 (-0.366-0.017)","-0.187* (-0.357--0.027)","-0.116 (-0.287-0.02)",NA,"0.194* (0.024-0.371)",NA,NA,591.534119536508,23.0687052032172,7
159,"-2.897*** (-3.114--2.706)","-0.297* (-0.533--0.076)","0.913*** (0.539-1.268)","0.906*** (0.566-1.232)","4.872*** (3.291-6.488)","1.113 (-0.739-3.014)","-0.175* (-0.333--0.027)",NA,"-0.207** (-0.371--0.052)",NA,NA,"0.207* (0.037-0.384)","-0.381 (-1.544-0.522)",NA,591.537721428241,23.0723070949498,7
160,"-3.107*** (-3.6--2.75)",NA,"0.926*** (0.565-1.268)","0.856*** (0.521-1.176)","5.389*** (3.887-6.89)","0.353 (-1.395-2.193)",NA,"-0.268** (-0.464--0.08)",NA,NA,"-2.972 (-7.668--0.546)",NA,NA,"0.003 (-0.29-0.105)",591.555996125395,23.0905817921043,5
161,"-2.959*** (-3.415--2.724)","-0.399*** (-0.626--0.182)","0.929*** (0.566-1.274)","0.863*** (0.526-1.184)","5.371*** (3.88-6.874)","0.487 (-1.257-2.309)",NA,NA,"-0.066 (-0.176-0.039)",NA,"-0.738 (-5.077--0.447)",NA,NA,"0.063 (-0.191-0.167)",591.633388246457,23.1679739131658,6
162,"-2.827*** (-3.031--2.648)",NA,"0.93*** (0.565-1.277)","0.918*** (0.583-1.238)","4.683*** (3.105-6.294)","0.975 (-0.855-2.853)","-0.244** (-0.397--0.097)",NA,NA,"-0.05 (-0.221-0.084)",NA,"0.032 (-0.08-0.148)",NA,NA,591.645884184656,23.180469851365,5
163,"-2.969*** (-3.448--2.727)","-0.449*** (-0.681--0.227)","0.955*** (0.592-1.301)","0.866*** (0.529-1.188)","5.037*** (3.536-6.549)","0.784 (-0.98-2.626)",NA,NA,NA,"-0.091 (-0.261-0.045)","-0.771 (-5.293--0.129)","0.029 (-0.085-0.145)",NA,NA,591.693294770559,23.2278804372683,6
164,"-2.817*** (-3.013--2.644)","-0.438*** (-0.656--0.233)",NA,"0.959*** (0.635-1.268)","5.253*** (3.886-6.626)","0.465 (-1.139-2.139)",NA,NA,NA,NA,NA,NA,NA,"0.053 (-0.151-0.138)",591.767938879315,23.3025245460244,3
165,"-3.105*** (-3.623--2.736)",NA,"0.901*** (0.532-1.251)","0.861*** (0.522-1.185)","4.404*** (2.813-6.028)","1.374 (-0.496-3.294)","-0.2** (-0.354--0.054)","-0.244* (-0.446--0.051)",NA,NA,"-2.938 (-7.817--0.456)","0.073 (-0.043-0.194)",NA,NA,591.79916165971,23.3337473264188,6
166,"-2.826*** (-3.031--2.648)",NA,"0.93*** (0.566-1.276)","0.913*** (0.579-1.233)","4.707*** (3.132-6.313)","0.943 (-0.88-2.814)","-0.242** (-0.395--0.095)",NA,NA,"-0.055 (-0.226-0.079)",NA,NA,NA,"-0.029 (-0.285-0.073)",591.839360643023,23.3739463097315,5
167,"-2.815*** (-3.021--2.635)",NA,"0.918*** (0.553-1.264)","0.913*** (0.578-1.232)","4.763*** (3.201-6.352)","0.905 (-0.909-2.772)","-0.234** (-0.386--0.09)",NA,NA,NA,NA,NA,"-0.341 (-1.394-0.463)","-0.002 (-0.26-0.103)",591.851400406649,23.3859860733578,5
168,"-2.813*** (-3.009--2.638)","-0.435*** (-0.653--0.228)",NA,"0.963*** (0.639-1.272)","5.224*** (3.854-6.6)","0.502 (-1.108-2.184)",NA,NA,NA,NA,NA,NA,"-0.286 (-1.447-0.571)",NA,591.907495242272,23.4420809089809,3
169,"-2.962*** (-3.439--2.72)","-0.448*** (-0.679--0.226)","0.951*** (0.589-1.295)","0.86*** (0.523-1.181)","5.047*** (3.545-6.559)","0.769 (-0.996-2.611)",NA,NA,NA,"-0.093 (-0.263-0.042)","-0.725 (-5.229--0.101)",NA,"-0.041 (-1.343-0.932)",NA,591.927912035553,23.4624977022615,6
